#defaultCSS=symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5
org.esa.snap.Pin	geometry:Point	style_css:String	label:String	text:String	pixelPos:Point	geoPos:Point	dateTime:Date
pin_1	POINT (459625 5447795)	fill:#ffc800; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5; symbol:pin	Pøehrada		POINT (5966.5 5222.5)	POINT (14.445976949169145 49.18163202355264)	[null]
pin_2	POINT (463065 5446945)	fill:#00ffff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5; symbol:pin	Domov		POINT (6310.5 5307.5)	POINT (14.493256434000704 49.174203077454024)	[null]
